,predicted_scores,similarity_scores
rxn39058_c,0.9999670720000001,0.5669572365014737
rxn00142_c,0.999966796,0.6741903028927418
rxn00565_c,0.999966768,0.7454248842004291
rxn00706_c,0.999966616,0.7878191753281284
rxn00161_c,0.999966522,0.5999792034938173
rxn05058_c,0.999966454,0.8946390626503999
rxn24108_c,0.9999663639999999,0.6859943405700353
rxn11174_c,0.999966328,0.75
rxn13688_c,0.9999662260000001,0.9745592073973306
rxn35347_c,0.9999662260000001,0.9745592073973306
rxn38903_c,0.9999659339999999,0.7999896017469086
rxn00180_c,0.999965856,0.7999896017469084
rxn18045_c,0.9999658339999999,0.75
rxn30243_c,0.9999658339999999,0.75
rxn10791_c,0.9999657479999999,0.8946215758975874
rxn08688_c,0.9999656619999999,0.6579836065058995
rxn00150_c,0.9999654899999999,0.8447385138078422
rxn33986_c,0.999965456,0.5547057420902881
rxn00104_c,0.9999653559999999,0.6761095939888514
rxn09678_c,0.9999653559999999,0.6499365964942582
rxn00513_c,0.999965334,0.7473941323621035
rxn00621_c,0.999965244,0.5
rxn00236_c,0.999965194,0.7878191753281284
rxn15434_c,0.9999651719999999,0.8615494087433648
rxn23383_c,0.999964872,0.6324308699302438
rxn08518_c,0.999964712,0.6859943405700353
rxn03938_c,0.999964638,0.7171202984927928
rxn00171_c,0.9999642900000001,0.6933685704011973
rxn00373_c,0.9999642400000001,0.6859943405700353
rxn09245_c,0.9999639779999999,0.4472252209492341
rxn23414_c,0.99996395,0.7714567811449564
rxn05109_c,0.9999637339999999,0.6666666666666667
rxn00291_c,0.999963688,0.5000072207900979
rxn08020_c,0.9999635440000001,0.7327229020353131
rxn37018_c,0.9999634719999999,0.7999896017469084
rxn19118_c,0.9999633960000001,0.6804236436904834
rxn29736_c,0.999963242,0.6499365964942583
rxn29868_c,0.999963242,0.6499365964942582
rxn13414_c,0.99996297,0.8946215758975874
rxn00504_c,0.9999628900000002,0.7950730869508819
rxn10878_c,0.9999625240000001,0.7142759460889254
rxn09897_c,0.9999625059999999,0.7559211482160542
rxn09487_c,0.9999624920000001,0.8447385138078422
rxn26454_c,0.9999622779999999,0.70706082188839
rxn00341_c,0.999962236,0.8411890479666808
rxn10008_c,0.9999620379999999,0.6996062446005054
rxn09565_c,0.999961712,0.5999792034938172
rxn30023_c,0.999961614,0.857137551990494
rxn00926_c,0.9999615720000001,0.6741903028927416
rxn08434_c,0.999961088,0.6324308699302449
rxn23045_c,0.9999610600000001,0.674183930403215
rxn34741_c,0.9999609459999999,0.732722902035313
rxn33589_c,0.999960806,0.75
rxn08679_c,0.999960686,0.6741903028927418
rxn29872_c,0.999960568,0.6499365964942582
rxn13147_c,0.9999603800000001,0.6761095939888512
rxn00383_c,0.99996025,0.6804236436904834
rxn00569_c,0.99996011,0.9370274304409572
rxn05291_c,0.999959978,0.9987839529667398
rxn34011_c,0.999959924,0.5714126559714813
rxn00099_c,0.999959584,0.7618661460666322
